,ImgURL,label
0,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1258491463_0000.jpg,141
1,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249317417_0001.jpg,141
2,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1259110850_0038.jpg,141
3,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249317417_0000.jpg,141
4,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1258491463_0001.jpg,141
5,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1258491463_0003.jpg,141
6,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249317417_0002.jpg,141
7,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249317417_0003.jpg,141
8,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1258491463_0002.jpg,141
9,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249317417_0004.jpg,141
10,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1258491463_0004.jpg,141
11,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1259110850_0106.jpg,141
12,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249060941_0002.jpg,141
13,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1259110850_0098.jpg,141
14,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249060941_0003.jpg,141
15,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249060941_0001.jpg,141
16,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249060941_0000.jpg,141
17,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1259110850_0100.jpg,141
18,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1249060941_0004.jpg,141
19,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1259110850_0092.jpg,141
20,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/quercus_bicolor/1259110850_0020.jpg,141
21,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005531174.jpg,120
22,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005563814.jpg,120
23,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005484862.jpg,120
24,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005310876.jpg,120
25,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005529932.jpg,120
26,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005527671.jpg,120
27,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005549814.jpg,120
28,/Users/ankitrai/Downloads/leafsnap-dataset/dataset/images/field/pinus_taeda/12992005464831.jpg,120
